,item_name,item_description,item_price,item_image
0,6 Chicken Wings + Side + Drink + Dessert,"Choose your 6 Marinated or Plain Chicken Wings (Wings and Drumsticks), Side, Drink and a Dessert",42.0,https://images.deliveryhero.io/image/talabat/Menuitems/888004F2223C907E247DF3DDB099390E?width=172&amp;height=172
1,12 Chicken Wings + Side + Drink + Dessert,"Your Choice of 12 Marinated or Plain Chicken Wings (Wings and Drumsticks), Side, Drink and Dessert",49.0,https://images.deliveryhero.io/image/talabat/Menuitems/23BEAFFE4E78B9F0ADDAFF750019DB82?width=172&amp;height=172
2,20 Wings + 2 Sides + 2 Drinks,Your Choice of 20 Marinated or Plain Chicken Wings (Wings and Drumsticks) 2 Sides and 2 Drinks,77.0,https://images.deliveryhero.io/image/talabat/Menuitems/317047BE9297EF540497091BC7DBCAF1?width=172&amp;height=172
3,10 Strips + 1 Side + 1 Drink,"Choose your 10 Chicken Strips, Side and a Drink",45.5,https://images.deliveryhero.io/image/talabat/Menuitems/6418752BF4837926D57998B4A46AA776?width=172&amp;height=172
4,Chocolate Milkshake,"Soft chocolate ice cream milkshake blended with chocolate, topped with chocolate syrup, whipped cream and chocolate chips",16.8,https://images.deliveryhero.io/image/talabat/Menuitems/E01580C4F83BC5F6A04F2FAD684F1AA0?width=172&amp;height=172
5,Lotus Milkshake,"Soft salted caramel ice cream milkshake blended with lotus, topped with caramel syrup, whipped cream and lotus crumple",16.8,https://images.deliveryhero.io/image/talabat/Menuitems/F54C47B9DE1B695198894F80FC69627C?width=172&amp;height=172
6,Oreo Milkshake,"Soft vanilla ice cream milkshake blended with Oreo cookies, topped with chocolate syrup, whipped cream and oreo cookies",16.8,https://images.deliveryhero.io/image/talabat/Menuitems/56B812455DEB5A26B70B631BCE1EF1FB?width=172&amp;height=172
7,PB Milkshake,"Soft chocolate ice cream milkshake blended with peanut butter, topped with whipped cream and brownie bits",16.8,https://images.deliveryhero.io/image/talabat/Menuitems/3C8F2A59DADAF51E042F58907C8660A5?width=172&amp;height=172
8,Strawberry Milkshake,"Soft strawberry ice cream milkshake blended with strawberry, topped with strawberry syrup, whipped cream and strawberries",16.8,https://images.deliveryhero.io/image/talabat/Menuitems/8A3A2AF469D02492BCE0FD8FD122BDAC?width=172&amp;height=172
9,Vanilla Milkshake,"Soft vanilla ice cream milkshake, topped with whipped cream and fresh strawberries",16.8,https://images.deliveryhero.io/image/talabat/Menuitems/59A72DA172BA22D4DB3567BE058E044C?width=172&amp;height=172
10,BBQ Chicken Wings,"Choose 6, 12 or 20 Chicken Wings (Wings and Drumsticks) Marinated in BBQ Sauce",28.0,https://images.deliveryhero.io/image/talabat/Menuitems/DCEAD05CA88E10AD0D0A688C11B4ACAC?width=172&amp;height=172
11,Chili Garlic Pepper Chicken Wings,"Choose 6, 12 or 20 Chicken Wings (Wings and Drumsticks) Marinated in Chili Garlic Pepper Sauce",28.0,https://images.deliveryhero.io/image/talabat/Menuitems/F6D0D4779AD31189EB6636EA676806A3?width=172&amp;height=172
12,Hot Chicken Wings,"Choose 6, 12 or 20 Chicken Wings (Wings and Drumsticks) Marinated in Hot Sauce",28.0,https://images.deliveryhero.io/image/talabat/Menuitems/38F7A7D4D1A025D14E53588AD9ADA292?width=172&amp;height=172
13,Sweet Chili Pineapple Chicken Wings,"Choose 6, 12 or 20 Chicken Wings (Wings and Drumsticks) Marinated in Sweet Chili Pineapple Sauce",28.0,https://images.deliveryhero.io/image/talabat/Menuitems/060F8F05766EA7BC96C196C5D932F536?width=172&amp;height=172
14,Teriyaki Chicken Wings,"Choose 6, 12 or 20 Chicken Wings (Wings and Drumsticks) Marinated in Teriyaki Sauce",28.0,https://images.deliveryhero.io/image/talabat/Menuitems/5AF1FB595C8A91E9484E76C7D0C1E34A?width=172&amp;height=172
15,(6) Six Plain Chicken Wings,"3 Chicken Wings and 3 Drumsticks, served with your choice of dipping sauce on the side",28.0,https://images.deliveryhero.io/image/talabat/Menuitems/A722CDCEF4276C239A8A82A5F50C62FE?width=172&amp;height=172
16,(12) Twelve Plain Chicken Wings,"6 Chicken Wings and 6 Drumsticks, served with your choice of dipping sauce on the side",42.0,https://images.deliveryhero.io/image/talabat/Menuitems/9E9EFC94918720B1FB8B34EA4D7DBE54?width=172&amp;height=172
17,(20) Twenty Plain Chicken Wings,"Ten (10) wings and Ten (10) drumsticks, served with your choice of dipping sauce on the side",59.5,https://images.deliveryhero.io/image/talabat/Menuitems/140313CF28113418AB8EF4B8BE0B8FB0?width=172&amp;height=172
18,BBQ Vegan Wings,"6pcs of Vegan Cauliflower Wings, Marinated with BBQ Sauce",12.6,https://images.deliveryhero.io/image/talabat/Menuitems/7A8CA705EDAE817AFEA615E9E2A99E8D?width=172&amp;height=172
19,Hot Vegan Wings,"6pcs of Vegan Cauliflower Wings, Marinated with Hot Sauce",12.6,https://images.deliveryhero.io/image/talabat/Menuitems/FACCF63141157FD8E30EB0F2D9C16A4D?width=172&amp;height=172
20,Teriyaki Vegan Wings,"6pcs of Vegan Cauliflower Wings, Marinated with Teriyaki Sauce",12.6,https://images.deliveryhero.io/image/talabat/Menuitems/FFFA7E471DC6821EDE5EBA09B8B6EE5E?width=172&amp;height=172
21,2 Chicken Strips + Fries + Juice + Cookie,"2 Crispy Chicken Strips with a Side of French Fries, Juice and a Cookie",24.5,https://images.deliveryhero.io/image/talabat/Menuitems/24E4FA2B044888E0BF15AB6C4875D7E3?width=172&amp;height=172
22,Create your own Hot Dog,Build your own beef or chicken hot dog with your choice of toppings and Sauce,14.0,https://images.deliveryhero.io/image/talabat/Menuitems/F3B151D6340609EF2C903E7F4AD111BF?width=172&amp;height=172
23,The Classic Dog,Beef or Chicken hot dog with mustard. Served on a toasted potato bun.,14.0,https://images.deliveryhero.io/image/talabat/Menuitems/6B3B7902CDB78F1AD052BA4FD2C1C7C1?width=172&amp;height=172
24,Spicy Samurai,"Beef or Chicken hot dog with crunchy onions, green onions, pickled red cabbage, and chipotle aioli sauce. Served on a toasted potato bun.",15.4,https://images.deliveryhero.io/image/talabat/Menuitems/24014E3C3E597215933F4F82A7069784?width=172&amp;height=172
25,Berlin Pickles Dog,"Beef or Chicken hot dog with pickles, caramelized onions, sauerkraut (pickled white cabbage), and mustard. Served on a toasted potato bun.",16.8,https://images.deliveryhero.io/image/talabat/Menuitems/6B5CAA847988F3FA27AC3D11021E8E8B?width=172&amp;height=172
26,Cheesy Dog,"Beef or Chicken hot dog with cheese sauce, pickles, crunchy onions, and mustard. Served on a toasted potato bun.",16.8,https://images.deliveryhero.io/image/talabat/Menuitems/31C79E8679230658B88FF92AEB214E7F?width=172&amp;height=172
27,Beany Dog,"Beef or Chicken hot dog with ground beef, cheddar cheese, black beans, and BBQ Sauce. Served on a toasted potato bun.",19.6,https://images.deliveryhero.io/image/talabat/Menuitems/6EA4F09BC1DC557ED39A4DB243B9F6F5?width=172&amp;height=172
28,Bacon Cheese,"Beef or Chicken hot dog with beef bacon bits, cheese sauce, sauteed peppers and onions, and roasted cherry tomatoes. Served on a toasted potato bun.",19.6,https://images.deliveryhero.io/image/talabat/Menuitems/E4A4FC3E33CBB4C5168300E9A3D31496?width=172&amp;height=172
29,French Fries,French Fries with your Choice of a Dipping Sauce,10.0,https://images.deliveryhero.io/image/talabat/Menuitems/85B73C8486BFCA8F9529FCE2B93A25E7?width=172&amp;height=172
30,Sweet Potato Fries,Sweet Potato Fries with your choice of Dipping Sauce,16.0,https://images.deliveryhero.io/image/talabat/Menuitems/F29D3886EE834E779E2E68DE0E5B887F?width=172&amp;height=172
31,Onion Rings,Onion rings served with a choice of dipping sauce,14.0,https://images.deliveryhero.io/image/talabat/Menuitems/193BA7F2D3C926744C5E22E045C64760?width=172&amp;height=172
32,Mozzarella Sticks,"Five (5) mozzarella sticks, served with homemade herb marinara sauce",24.0,https://images.deliveryhero.io/image/talabat/Menuitems/75685A60454C7FABB719679CA194B164?width=172&amp;height=172
33,(6) Six Chicken Strips,Choose your Six (6) ChIcken Strips and a Dipping Sauce,40.0,https://images.deliveryhero.io/image/talabat/Menuitems/C066C4A9DF02E1B225CC499D60FEBDC9?width=172&amp;height=172
34,(10) Ten Chicken Strips,Choose your Ten (10) Chicken Strips and a Dippings Sauce,55.0,https://images.deliveryhero.io/image/talabat/Menuitems/A971DA5AA3747886F6D66E9340EBC75F?width=172&amp;height=172
35,Popcorn Chicken,"Fifteen (15) Popcorn chicken bites , served with your choice of dipping sauce",20.0,https://images.deliveryhero.io/image/talabat/Menuitems/3998103D613DB9FB7EA25EA1C9875AD6?width=172&amp;height=172
36,(15) Fifteen Chicken Strips,Choose your Fifteen (15) Chicken Strips and a Dippings Sauce,75.0,https://images.deliveryhero.io/image/talabat/Menuitems/DC60F8FA2CF842D38B07C6AEE0790908?width=172&amp;height=172
37,Truffle Fries,Truffle Fries,19.0,https://images.deliveryhero.io/image/talabat/Menuitems/66030D685D033E606F92FBC9DA20A4F5?width=172&amp;height=172
38,Chocolate Brownie,Chocolate Brownie,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/E2DB737BCADB55EDE7CDFBA50503A711?width=172&amp;height=172
39,Triple Chocolate Cookie,Triple Chocolate Cookie,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/3A427E5393D8E3C209F12E5CD8FE96A2?width=172&amp;height=172
40,Chocolate Chip Cookie,Chocolate Chip Cookie,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/5A7BE1C52DBAF7D56A6370D69CCAD47E?width=172&amp;height=172
41,Oatmeal Raisin Cookie,Oatmeal Raisin Cookie,8.0,https://images.deliveryhero.io/image/talabat/Menuitems/6934FB94AFFEF8F32F0209F049E261D6?width=172&amp;height=172
42,Coca Cola,Coca Cola,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/4E5E377B917067A92D942C0DB50FEB4E?width=172&amp;height=172
43,Diet Coke,Diet Coke,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/EF5BAF43A221FA3B1851A4CD92A241FC?width=172&amp;height=172
44,Fanta Orange,Fanta Orange,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/75AAB4ABBC1211749254048B16A26CE6?width=172&amp;height=172
45,Sprite,Sprite,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/CEBF2C352EE45ABFE059C801BF3E271B?width=172&amp;height=172
46,Soda Water,Soda Water,8.0,https://images.deliveryhero.io/image/talabat/Menuitems/7C83B270E5EE61028923E7BC60F4C1FA?width=172&amp;height=172
47,Still Water,Still Water,6.0,https://images.deliveryhero.io/image/talabat/Menuitems/1F2A30C33D11F738EEFD7776A0BFCFC3?width=172&amp;height=172
48,Apple Juice,Cool Sun 100% Apple Juice,7.0,https://images.deliveryhero.io/image/talabat/Menuitems/DD551D810632479DC6CB57F44FA7B07A?width=172&amp;height=172
49,Mango & Apple Juice,Cool Sun 100% Mango & Apple Juice,7.0,https://images.deliveryhero.io/image/talabat/Menuitems/DF96577BEA278E88252962A0BAE2AA5A?width=172&amp;height=172
50,Mixed Fruit Juice,Cool Sun 100% Mixed Fruit Juice,7.0,https://images.deliveryhero.io/image/talabat/Menuitems/DFF3FFA5CF419B7F29E323EB2E51B5B7?width=172&amp;height=172
51,Strawberry & Apple Juice,Cool Sun 100% Strawberry & Apple Juice,7.0,https://images.deliveryhero.io/image/talabat/Menuitems/0EB01B1614E7E2E10C55EE8D9A038FA4?width=172&amp;height=172
